ablation_name,n_features,features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
wer + avg_logprob + compression_ratio,3,"wer, avg_logprob, compression_ratio",0.81,0.6721311475409836,0.6949152542372882,0.6833333333333333,0.8235364827503306,0.740499962006157,0.5494341265118609,0.04964539007092199,0.3220338983050847,0.3716792883760067
avg_logprob + no_speech_prob + compression_ratio,3,"avg_logprob, no_speech_prob, compression_ratio",0.835,0.7321428571428571,0.6949152542372882,0.7130434782608696,0.8011780262050726,0.6741894525912395,0.4916075476922364,0.10638297872340426,0.288135593220339,0.39451857194374323
wer + avg_logprob + no_speech_prob + compression_ratio,4,"wer, avg_logprob, no_speech_prob, compression_ratio",0.825,0.7142857142857143,0.6779661016949152,0.6956521739130435,0.8458949392955886,0.7199199213307679,0.6242689757053865,0.05673758865248227,0.3389830508474576,0.39572063949993985
no_speech_prob,1,no_speech_prob,0.825,0.7222222222222222,0.6610169491525424,0.6902654867256637,0.7509316023560523,0.6151840209682122,0.44716774578229834,0.11347517730496454,0.3050847457627119,0.4185599230676764
avg_logprob + no_speech_prob,2,"avg_logprob, no_speech_prob",0.83,0.7192982456140351,0.6949152542372882,0.7068965517241379,0.7405938213727611,0.6521330407336975,0.5131211352694361,0.11347517730496454,0.3050847457627119,0.4185599230676764
avg_logprob + compression_ratio,2,"avg_logprob, compression_ratio",0.8,0.6557377049180327,0.6779661016949152,0.6666666666666666,0.8083904315422525,0.7242305180260652,0.5767157041689156,0.09929078014184398,0.3220338983050847,0.42132467844692867
wer + avg_logprob + no_speech_prob,3,"wer, avg_logprob, no_speech_prob",0.825,0.7307692307692307,0.6440677966101694,0.6846846846846847,0.7777377088592379,0.6871971313471005,0.5983102269780118,0.07092198581560284,0.3559322033898305,0.42685418920543333
no_speech_prob + compression_ratio,2,"no_speech_prob, compression_ratio",0.795,0.68,0.576271186440678,0.6238532110091743,0.8183675922586849,0.64374902206382,0.4422752150038023,0.1347517730496454,0.3050847457627119,0.4398365188123573
wer + no_speech_prob,2,"wer, no_speech_prob",0.825,0.7307692307692307,0.6440677966101694,0.6846846846846847,0.788796730376247,0.6832165760846971,0.5679015183573568,0.0851063829787234,0.3559322033898305,0.4410385863685539
wer + no_speech_prob + compression_ratio,3,"wer, no_speech_prob, compression_ratio",0.815,0.6964285714285714,0.6610169491525424,0.6782608695652174,0.8442120447169131,0.6945142806547089,0.5063067429135055,0.11347517730496454,0.3389830508474576,0.45245822815242215
avg_logprob,1,avg_logprob,0.74,0.547945205479452,0.6779661016949152,0.6060606060606061,0.7333814160355812,0.6699689667957774,0.5694027869902504,0.14184397163120568,0.3728813559322034,0.514725327563409
wer + avg_logprob,2,"wer, avg_logprob",0.725,0.5277777777777778,0.6440677966101694,0.5801526717557252,0.7256881836759226,0.6605136569220877,0.6026337504342189,0.10638297872340426,0.4406779661016949,0.5470609448250991
wer + compression_ratio,2,"wer, compression_ratio",0.7,0.49230769230769234,0.5423728813559322,0.5161290322580645,0.7065753095323957,0.5142679512334811,0.5129997600118181,0.1773049645390071,0.4576271186440678,0.6349320831830749
compression_ratio,1,compression_ratio,0.715,0.515625,0.559322033898305,0.5365853658536586,0.6967784589493929,0.508639445714273,0.5009532737415019,0.2198581560283688,0.4406779661016949,0.6605361221300637
wer,1,wer,0.695,0.47368421052631576,0.3050847457627119,0.3711340206185567,0.5137035701406419,0.3262106409502953,0.5051608760135029,0.1276595744680851,0.6949152542372882,0.8225748287053732
