group,ablation_name,features,n_features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + lm_surprisal_std,wer|avg_logprob|no_speech_prob|compression_ratio|lm_surprisal_std,5,0.83,0.8787878787878788,0.4915254237288136,0.6304347826086957,0.8044236086068036,0.7161567992290808,0.3891076105778544,0.05673758865248227,0.3050847457627119,0.3618223344151942
ASR_only,wer + avg_logprob + no_speech_prob + compression_ratio,wer|avg_logprob|no_speech_prob|compression_ratio,4,0.845,0.8888888888888888,0.5423728813559322,0.6736842105263158,0.8134391152782787,0.7234364736385568,0.37614791012746385,0.05673758865248227,0.3220338983050847,0.378771486957567
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + repetition_ratio,wer|avg_logprob|no_speech_prob|compression_ratio|repetition_ratio,5,0.845,0.8888888888888888,0.5423728813559322,0.6736842105263158,0.8134391152782787,0.7234364736385568,0.3761479562607037,0.05673758865248227,0.3220338983050847,0.378771486957567
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + unique_token_ratio,wer|avg_logprob|no_speech_prob|compression_ratio|unique_token_ratio,5,0.85,0.8918918918918919,0.559322033898305,0.6875,0.8129582882558,0.7219462277547074,0.3812803898593654,0.05673758865248227,0.3220338983050847,0.378771486957567
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + lm_avg_neg_logprob + lm_perplexity + lm_surprisal_std + repetition_ratio + unique_token_ratio,wer|avg_logprob|no_speech_prob|compression_ratio|lm_avg_neg_logprob|lm_perplexity|lm_surprisal_std|repetition_ratio|unique_token_ratio,9,0.83,0.8787878787878788,0.4915254237288136,0.6304347826086957,0.7902392114436831,0.7229545183898795,0.3718924565317707,0.06382978723404255,0.3220338983050847,0.38586368553912725
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + lm_perplexity,wer|avg_logprob|no_speech_prob|compression_ratio|lm_perplexity,5,0.845,0.8888888888888888,0.5423728813559322,0.6736842105263158,0.7968505830027647,0.7143286572683719,0.35894719765000255,0.07092198581560284,0.3220338983050847,0.39295588412068755
Hybrid,wer + avg_logprob + no_speech_prob + compression_ratio + lm_avg_neg_logprob,wer|avg_logprob|no_speech_prob|compression_ratio|lm_avg_neg_logprob,5,0.835,0.8823529411764706,0.5084745762711864,0.6451612903225806,0.7937252073566534,0.7234110100797708,0.38711717715817373,0.05673758865248227,0.3389830508474576,0.39572063949993985
ASR_only,avg_logprob + compression_ratio,avg_logprob|compression_ratio,2,0.825,0.9,0.4576271186440678,0.6067415730337079,0.8003365789157351,0.7259455738295698,0.36180168235539856,0.0851063829787234,0.3220338983050847,0.40714028128380814
Hybrid,avg_logprob + compression_ratio + repetition_ratio,avg_logprob|compression_ratio|repetition_ratio,3,0.825,0.9,0.4576271186440678,0.6067415730337079,0.8003365789157351,0.7259455738295698,0.3618018485449836,0.0851063829787234,0.3220338983050847,0.40714028128380814
Hybrid,wer + avg_logprob + unique_token_ratio,wer|avg_logprob|unique_token_ratio,3,0.82,0.8108108108108109,0.5084745762711864,0.625,0.771607164322635,0.7408667540653506,0.30502869001411265,0.14184397163120568,0.2711864406779661,0.4130304123091718
