ablation_name,features,n_features,accuracy,precision,recall,f1,roc_auc,avg_precision,det_best_threshold,det_best_fpr,det_best_fnr,det_fpr_plus_fnr
lm_perplexity + unique_token_ratio,lm_perplexity|unique_token_ratio,2,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7286332491886044,0.5265156214120276,0.2661919480678489,0.3262411347517731,0.2542372881355932,0.5804784228873663
lm_perplexity + repetition_ratio + unique_token_ratio,lm_perplexity|repetition_ratio|unique_token_ratio,3,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7286332491886044,0.5265156214120276,0.2661919293962815,0.3262411347517731,0.2542372881355932,0.5804784228873663
unique_token_ratio,unique_token_ratio,1,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7308570741675682,0.5218044897353538,0.2618316268122615,0.3333333333333333,0.2542372881355932,0.5875706214689265
repetition_ratio + unique_token_ratio,repetition_ratio|unique_token_ratio,2,0.73,0.631578947368421,0.2033898305084746,0.3076923076923077,0.7308570741675682,0.5218044897353538,0.26183160855806387,0.3333333333333333,0.2542372881355932,0.5875706214689265
lm_perplexity + lm_surprisal_std + unique_token_ratio,lm_perplexity|lm_surprisal_std|unique_token_ratio,3,0.71,0.5238095238095238,0.1864406779661017,0.275,0.7013463156629403,0.49162377983755656,0.28247999175496763,0.24113475177304963,0.3898305084745763,0.6309652602476259
lm_perplexity + lm_surprisal_std + repetition_ratio + unique_token_ratio,lm_perplexity|lm_surprisal_std|repetition_ratio|unique_token_ratio,4,0.71,0.5238095238095238,0.1864406779661017,0.275,0.7013463156629403,0.49162377983755656,0.2824799151372581,0.24113475177304963,0.3898305084745763,0.6309652602476259
lm_surprisal_std + unique_token_ratio,lm_surprisal_std|unique_token_ratio,2,0.715,0.55,0.1864406779661017,0.27848101265822783,0.7121649236687103,0.5005757642508438,0.27156056690843516,0.2765957446808511,0.3559322033898305,0.6325279480706816
lm_surprisal_std + repetition_ratio + unique_token_ratio,lm_surprisal_std|repetition_ratio|unique_token_ratio,3,0.715,0.55,0.1864406779661017,0.27848101265822783,0.7121649236687103,0.5005757642508438,0.2715605380771556,0.2765957446808511,0.3559322033898305,0.6325279480706816
lm_avg_neg_logprob + lm_perplexity + unique_token_ratio,lm_avg_neg_logprob|lm_perplexity|unique_token_ratio,3,0.705,0.5,0.1864406779661017,0.2716049382716049,0.6919701887246062,0.4997450886656951,0.2762970836170677,0.2695035460992908,0.4067796610169492,0.6762832071162399
lm_avg_neg_logprob + lm_perplexity + repetition_ratio + unique_token_ratio,lm_avg_neg_logprob|lm_perplexity|repetition_ratio|unique_token_ratio,4,0.705,0.5,0.1864406779661017,0.2716049382716049,0.6919701887246062,0.4997450886656951,0.2762971075694322,0.2695035460992908,0.4067796610169492,0.6762832071162399
lm_avg_neg_logprob + unique_token_ratio,lm_avg_neg_logprob|unique_token_ratio,2,0.705,0.5,0.1864406779661017,0.2716049382716049,0.691729775213367,0.49950506225236424,0.2763845317091902,0.2695035460992908,0.4067796610169492,0.6762832071162399
lm_avg_neg_logprob + repetition_ratio + unique_token_ratio,lm_avg_neg_logprob|repetition_ratio|unique_token_ratio,3,0.705,0.5,0.1864406779661017,0.2716049382716049,0.691729775213367,0.49950506225236424,0.2763845177288613,0.2695035460992908,0.4067796610169492,0.6762832071162399
lm_avg_neg_logprob + lm_perplexity + lm_surprisal_std + unique_token_ratio,lm_avg_neg_logprob|lm_perplexity|lm_surprisal_std|unique_token_ratio,4,0.705,0.5,0.1864406779661017,0.2716049382716049,0.6930520495251833,0.4954897832080831,0.2932443387203669,0.22695035460992907,0.4576271186440678,0.6845774732539969
